tid,seatNumber,price,passportID,rid,fid,fctype
117,285,183,135798,1314,PG3407,NULL,['J']
118,296,1060,110754,462,R23351,NULL,['J']
119,265,669,8136,874,I41474,Gold,['Y']
120,283,1258,13020,1420,2N2268,NULL,['J']
121,200,501,75237,2352,LD1429,NULL,['FC']
122,150,232,21840,670,8V1894,NULL,['J']
123,171,1026,124218,973,YM2525,NULL,['FC']
124,162,1297,110889,2230,I41474,NULL,['Y']
125,239,443,90054,483,K72990,NULL,['Y']
126,129,423,18624,2512,EM2527,NULL,['FC']
127,207,233,85113,1634,9X889,NULL,['Y+']
128,204,495,131361,265,QO2392,Explorer,['J']
129,124,843,3078,2800,GS3797,NULL,['Y']
130,114,260,101391,2784,GS3936,Platinum,['Y']
131,202,697,115182,2774,8F3760,Gold,['Y']
132,161,1274,108615,2385,AM193,NULL,['Y+']
133,226,118,46695,895,H91692,NULL,['FC']
134,219,415,130422,1181,XK3120,NULL,['Y']
135,266,215,102162,3813,H53029,Silver,['Y']
136,292,1002,94632,1250,KT651,Explorer,['Y+']
137,236,1219,67230,1361,FV1071,NULL,['J']
138,220,969,149046,1257,VC2680,Platinum,['Y']
139,252,380,1590,3662,5A822,NULL,['Y+']
140,174,1181,11961,3110,E92598,Gold,['Y']
141,221,615,125355,1738,8T3006,Explorer,['J']
142,184,1232,91806,159,AR2962,NULL,['FC']
143,188,152,121728,1607,QY2691,NULL,['Y']
144,248,1178,109740,2054,GR2931,NULL,['Y']
145,283,1277,72288,2063,QX1747,NULL,['J']
146,135,624,80850,2917,BU1044,Platinum,['Y']
147,262,1217,15855,1558,7I386,NULL,['Y+']
148,284,923,54249,3419,HC525,Platinum,['Y+']
149,128,198,47025,945,GS2115,Gold,['Y']
150,139,100,111231,2661,Z03251,Platinum,['Y+']
151,238,839,45837,1028,RN3603,Silver,['J']
152,211,692,39915,2900,N43909,NULL,['J']
153,171,355,43266,346,BU2606,Silver,['J']
154,127,335,47676,3071,XG1470,NULL,['Y+']
155,219,895,53985,2494,EM2790,Platinum,['Y']
156,248,1265,27900,1131,АЯ3418,NULL,['Y+']
157,135,910,51372,3163,SQ237,NULL,['FC']
158,200,168,8874,3478,VU2055,Gold,['J']
159,252,901,21105,3788,SX594,NULL,['J']
160,197,582,103419,2156,VH2908,NULL,['FC']
161,156,1287,33105,2260,RN227,Explorer,['J']
162,119,461,75981,790,HC705,NULL,['FC']
163,276,1256,45831,3443,IA1922,NULL,['Y']
164,162,822,82443,1897,R23351,NULL,['FC']
165,105,755,70971,3977,XP3837,NULL,['FC']
166,227,971,42807,760,BC2870,Silver,['Y']
167,159,691,2400,3820,3D2095,Silver,['Y']
168,137,674,19326,1512,1N3310,NULL,['FC']
169,218,630,147465,310,XN1496,NULL,['FC']
170,266,138,78267,1508,D52133,NULL,['FC']
171,252,769,32031,2238,B13385,NULL,['Y']
172,179,215,128481,3306,VT3792,NULL,['J']
173,242,826,102324,1701,1K3570,NULL,['J']
174,188,967,148803,382,PC1067,Platinum,['J']
175,227,238,121497,1374,7K3803,NULL,['Y']
176,108,921,75318,3562,XQ3210,NULL,['Y']
177,254,1291,35751,1382,DE3213,Platinum,['Y+']
178,246,799,138018,338,GT820,Platinum,['Y']
179,133,705,100620,1989,U6784,Silver,['Y+']
180,231,662,54057,3798,76811,NULL,['FC']
181,164,1212,39525,695,LZ972,NULL,['Y']
182,212,601,11985,2955,E92450,Silver,['Y']
183,205,271,131145,1298,N41710,Platinum,['J']
184,220,1288,54669,3881,ES1438,Platinum,['FC']
185,172,186,50391,1893,..829,Gold,['Y']
186,233,1109,70959,3571,I42953,Silver,['Y+']
187,168,1273,119256,72,EC567,NULL,['Y+']
188,153,390,85197,2378,G917,NULL,['Y+']
189,174,1074,65403,1788,TP6,Platinum,['Y']
190,116,235,67314,651,NA2384,NULL,['J']
191,157,245,136974,3005,U4958,NULL,['FC']
192,236,176,73863,3840,QD1914,Explorer,['Y+']
193,230,991,51945,2369,JS319,NULL,['Y+']
194,262,251,11820,3802,8P419,Silver,['Y+']
195,276,1257,136485,3984,JC2773,NULL,['Y']
196,167,100,95121,1725,E82925,NULL,['Y+']
197,113,160,66168,1349,GF911,Silver,['J']
198,237,849,48645,2186,1M1493,Gold,['FC']
199,229,1038,23457,330,ZU3531,Platinum,['FC']
200,203,647,13020,1987,J72039,NULL,['FC']
201,160,961,123696,301,WG1319,NULL,['Y']
202,132,992,34788,425,RQ3370,NULL,['FC']
203,293,1193,112830,1945,DV3404,Silver,['FC']
204,276,288,95256,112,OJ1210,NULL,['Y']
205,273,427,2622,2482,T982,Explorer,['J']
206,109,157,110832,2241,KA1994,NULL,['Y+']
207,188,800,88617,2148,8Q1368,NULL,['Y']
208,122,296,4827,2725,KA2972,Silver,['J']
209,107,215,120243,3526,AO836,Gold,['J']
210,105,1257,111285,45,VS3332,NULL,['J']
211,104,597,39738,1951,JB27,Gold,['FC']
212,295,593,148413,3287,6C3912,Explorer,['Y']
213,216,555,5460,2745,S03125,NULL,['Y']
214,265,793,11955,346,KH1934,NULL,['J']
215,198,113,9252,1731,W92616,NULL,['J']
216,132,577,71358,1464,VD3779,Gold,['Y']
217,257,613,54270,2722,KI2683,Explorer,['Y']
218,276,572,62163,3943,VC2313,NULL,['J']
219,297,514,138033,3319,JJ2891,Silver,['FC']
220,295,1059,99525,2568,763411,NULL,['Y']
221,230,935,885,239,QE1605,NULL,['J']
222,220,1156,77532,1445,DW1498,Gold,['Y+']
223,266,1233,144153,2238,IC3883,NULL,['Y']
224,275,487,126018,2048,FY3548,Gold,['Y+']
225,154,806,84762,3900,NK1227,NULL,['J']
226,145,1227,145374,2009,2M2539,Gold,['FC']
227,274,806,115227,623,BH2226,Explorer,['Y+']
228,179,462,8940,3006,JX3140,Platinum,['Y+']
229,238,743,113700,2172,Z72813,NULL,['Y+']
230,186,1145,130248,531,6N1818,NULL,['Y+']
231,292,925,18396,2816,LD332,Gold,['J']
232,116,348,65274,2573,SQ3314,Silver,['J']
233,127,1059,67947,1998,KB482,NULL,['FC']
234,110,161,78114,143,OI3457,Explorer,['Y']
235,241,328,70401,1414,FQ2580,Gold,['Y']
236,261,1246,21153,1882,JI3582,NULL,['Y+']
237,169,779,88431,3572,WB2333,NULL,['Y+']
238,279,483,68340,1014,HC344,Explorer,['FC']
239,110,807,74742,2904,МИ603,Silver,['J']
240,226,1136,75366,2390,LM2145,NULL,['Y+']
241,149,1142,121074,527,UL3843,Silver,['Y+']
242,116,484,99402,3361,MR539,NULL,['J']
243,157,1170,139497,159,Q3999,Explorer,['Y']
244,244,1248,27459,3766,4S3359,Platinum,['J']
245,115,849,62115,2905,4O2553,NULL,['Y+']
246,181,853,58011,3512,1I1157,NULL,['J']
247,184,1267,103860,2117,J32882,NULL,['Y']
248,238,652,28344,2534,2B3229,Explorer,['Y+']
249,248,1091,9087,4,PX1141,Explorer,['FC']
250,181,1269,57840,2728,4H1538,Platinum,['Y']
251,296,702,132477,438,EX3447,NULL,['J']
252,274,993,127890,959,RU3263,Platinum,['Y+']
253,273,293,123858,2888,6R2011,NULL,['FC']
254,247,1275,91785,1634,LM88,Gold,['Y']
255,264,264,40509,2495,PA620,NULL,['Y']
256,247,972,8163,3080,N51005,Gold,['FC']
257,261,416,120843,3127,CP3685,NULL,['Y+']
258,245,131,76092,3867,HG3254,NULL,['FC']
259,154,299,51576,3389,RU374,NULL,['J']
260,137,573,68391,204,NG264,NULL,['J']
261,289,265,83652,1561,ER1435,Silver,['Y']
262,292,135,34821,2482,MS2930,NULL,['Y+']
263,132,752,95943,1924,XW3640,Silver,['J']
264,272,570,29562,2958,QO1231,Silver,['J']
265,222,1076,149082,2166,C6852,Gold,['FC']
266,151,975,2343,3116,XM1937,NULL,['J']
267,254,846,32484,1937,9H2645,Explorer,['Y+']
268,183,801,136641,2979,N43336,Gold,['J']
269,155,1062,106173,3035,MO3855,Platinum,['Y']
270,295,1179,28032,2039,T42521,NULL,['J']
271,132,1254,33729,1026,FO2279,Silver,['FC']
272,141,280,37287,2314,8C2277,Gold,['Y+']
273,191,605,32160,3306,EQ517,NULL,['FC']
274,118,799,99744,2555,8z1386,Platinum,['Y']
275,195,278,12699,1517,ZG745,Explorer,['FC']
276,103,520,37500,3038,A62657,Silver,['J']
277,274,866,76866,679,LW1139,NULL,['J']
278,112,921,65511,1721,GR1501,Platinum,['Y+']
279,176,768,111093,1492,BU973,Gold,['Y']
280,155,684,42645,3228,D2320,NULL,['Y+']
281,140,374,135492,3159,M32830,NULL,['FC']
282,295,743,66858,3191,LT62,Gold,['J']
283,182,412,23271,2198,LD2706,NULL,['Y+']
284,253,500,44565,3696,LH2363,NULL,['Y']
285,109,109,100065,1873,L72591,NULL,['J']
286,290,440,94356,3073,SM1346,Gold,['FC']
287,219,180,119238,1382,VE799,NULL,['Y+']
288,122,349,115521,1565,2S3380,NULL,['J']
289,215,846,40737,650,S82979,Gold,['FC']
290,127,274,96573,677,BC3799,NULL,['Y+']
291,145,850,132903,3255,PL487,Silver,['Y']
292,278,1095,121578,501,KA1994,Silver,['Y+']
293,235,902,10305,2799,N11524,NULL,['FC']
294,189,212,144357,2014,WZ3688,NULL,['Y+']
295,160,639,48732,1683,C52714,NULL,['Y+']
296,131,133,55242,1900,MH2117,Gold,['Y']
297,252,416,111744,2548,LG1486,Silver,['FC']
298,119,861,32388,3575,EU3464,Platinum,['Y']
299,261,128,61218,577,MH3766,NULL,['Y']
300,238,454,45402,3175,DH2174,NULL,['J']
301,125,590,75285,1118,8Z2019,NULL,['Y+']
302,105,195,18714,1471,O71887,Silver,['J']
303,279,392,56907,1289,IG3468,NULL,['Y']
304,184,550,16776,1945,NO3383,Gold,['Y']
305,293,606,71709,3929,WG627,Gold,['Y+']
306,104,326,16074,807,PT1521,Platinum,['FC']
307,278,1205,49032,2994,1B2289,Explorer,['FC']
308,300,510,119301,2589,W23558,NULL,['Y']
309,190,1155,123849,2972,Y1291,NULL,['Y+']
310,293,599,35757,2090,FZ2721,NULL,['Y+']
311,265,956,148512,2020,2D1400,NULL,['Y']
312,215,779,49323,2022,T93211,NULL,['Y+']
313,152,1037,73302,1762,WY3175,NULL,['FC']
314,278,1004,23211,245,BF1861,NULL,['J']
315,205,336,116340,3595,RL1124,NULL,['J']
316,263,876,145185,3359,SO2650,NULL,['Y']
317,200,1137,47505,1403,8T1531,Platinum,['Y+']
318,101,1242,7419,3557,PZ448,Silver,['Y+']
319,210,1082,13305,1672,Q21572,Gold,['Y']
320,204,367,86424,868,UK1750,Explorer,['FC']
321,178,611,110208,2975,7I1771,Gold,['Y']
322,257,1191,6066,1722,MV1797,Explorer,['FC']
323,165,809,18519,693,AN1283,NULL,['J']
324,237,127,101862,3108,SB2134,Explorer,['Y+']
325,300,621,81174,2538,DM415,Silver,['Y+']
326,143,978,76389,2710,YD1291,NULL,['FC']
327,188,714,19182,835,U42709,Platinum,['FC']
328,197,861,122733,3453,C4548,NULL,['Y']
329,240,1297,135387,3415,MY2067,Gold,['Y']
330,116,943,6705,3178,TV2130,NULL,['Y+']
331,215,504,54498,2062,C3398,Explorer,['Y+']
332,112,368,25680,713,1H3728,NULL,['FC']
333,200,727,38364,3343,2W1764,Explorer,['Y+']
334,178,574,13446,2208,1U402,NULL,['FC']
335,134,848,115548,902,T82028,NULL,['Y']
336,240,582,107253,1277,BW2170,NULL,['Y']
337,223,1117,48891,2427,OT3943,Gold,['Y+']
338,202,1033,2241,1106,XP2380,NULL,['Y+']
339,285,1063,131262,2954,3F3828,NULL,['J']
340,128,995,106935,805,VH1021,NULL,['FC']
341,171,615,56220,2281,GB2309,NULL,['FC']
342,180,155,109326,1539,T43199,NULL,['J']
343,293,476,6144,3645,WH2959,NULL,['FC']
344,100,836,98547,261,BX1326,NULL,['Y']
345,238,583,39432,3767,C31055,Explorer,['J']
346,246,252,116541,1013,I41622,NULL,['FC']
347,253,1039,91452,3923,DW1498,NULL,['Y+']
348,200,918,133587,2800,H92172,Platinum,['FC']
349,291,675,66966,2302,TH2876,NULL,['Y+']
350,258,939,142866,743,NJ785,Platinum,['J']
351,122,625,109671,1384,W23088,Explorer,['Y']
352,142,973,59145,3092,1H2348,Explorer,['Y+']
353,114,433,64464,1788,V73034,Silver,['Y+']
354,212,1090,213,1655,3K858,Explorer,['Y']
355,189,427,85644,1773,FX187,NULL,['Y+']
356,228,1152,59727,3323,US2284,NULL,['Y']
357,111,902,28800,372,123576,NULL,['Y']
358,155,790,49314,1109,1Z772,Silver,['Y']
359,248,908,51468,3317,WZ360,Gold,['FC']
360,282,1222,1224,2013,3U664,Silver,['J']
361,231,746,47109,801,ZP1793,Platinum,['Y']
362,102,991,31593,3432,6N1818,NULL,['J']
363,244,907,69075,199,UR177,Platinum,['FC']
364,252,503,111420,2514,RO3001,Explorer,['J']
365,107,539,6729,2751,BB3089,Gold,['J']
366,280,897,40404,3351,XS3420,Platinum,['FC']
367,133,341,71244,3477,FH3245,NULL,['FC']
368,265,400,108867,1926,Y41432,NULL,['Y+']
369,149,179,6924,614,IM2218,NULL,['Y']
370,151,652,14142,250,HC3246,NULL,['Y+']
371,200,754,55698,1658,C13533,Platinum,['FC']
372,165,569,47691,3880,WA797,NULL,['J']
373,245,980,51522,1189,BI2362,NULL,['J']
374,129,899,48798,2272,R23351,NULL,['FC']
375,187,835,128541,3411,N4454,NULL,['Y']
376,165,1257,101142,1185,LD332,NULL,['J']
377,187,743,105162,3775,CR2851,NULL,['Y']
378,141,1216,121059,3901,RS1318,NULL,['Y+']
379,196,549,71358,1507,N9965,Gold,['FC']
380,155,727,72321,656,I43366,Explorer,['J']
381,221,995,113574,2267,LD332,Silver,['J']
382,200,932,96291,2522,1M1493,Platinum,['Y']
383,265,788,393,2666,VA367,Gold,['J']
384,183,1005,141489,280,D83863,Gold,['Y']
385,257,822,49377,1797,SM3318,Platinum,['Y+']
386,104,1103,53469,1765,D33324,NULL,['Y+']
387,159,879,95676,2545,RN227,Silver,['Y+']
388,270,812,127722,2181,XN1496,NULL,['J']
389,185,318,122112,1886,OG1757,Silver,['Y+']
390,240,412,41226,466,K5522,Gold,['Y+']
391,276,776,80997,2003,9N3154,Explorer,['Y']
392,195,487,101538,1346,UX1024,Explorer,['FC']
393,111,1248,130728,2454,IL154,NULL,['FC']
394,214,656,149004,3933,8V2522,NULL,['Y']
395,116,192,115230,447,LS862,Silver,['Y+']
396,237,511,18174,1087,RV2393,Gold,['J']
397,256,505,30810,752,ZB2466,Silver,['FC']
398,267,663,103443,2093,E9116,Explorer,['Y+']
399,262,593,41568,2389,GS3958,NULL,['J']
400,273,610,145920,3710,V33699,NULL,['FC']
401,280,555,88842,1619,M8552,NULL,['Y+']
402,279,379,103752,2406,3D3048,NULL,['J']
403,237,396,51375,582,1R1792,NULL,['Y']
404,210,1228,39162,3242,1M3514,Gold,['FC']
405,273,919,46110,1617,J41145,NULL,['J']
406,105,240,31677,2406,ZJ462,NULL,['Y+']
407,274,393,24624,2420,L651,NULL,['Y+']
408,163,804,42279,809,AG1324,Platinum,['J']
409,242,849,32742,2440,VD1064,NULL,['Y+']
410,150,1109,135243,3929,OZ1813,Platinum,['Y+']
411,217,1018,80685,3625,EL1902,NULL,['FC']
412,132,693,44106,3274,CM2046,NULL,['J']
413,230,231,110880,3547,ZE1128,Platinum,['Y']
414,250,1214,119853,3456,D71483,NULL,['Y']
415,104,574,145224,1774,TW1653,NULL,['Y']
416,178,635,49974,916,ML2053,NULL,['J']
417,179,535,112716,1003,T01387,Explorer,['Y']
418,142,241,2193,491,JR175,Gold,['Y']
419,118,979,85476,592,IG3121,Silver,['FC']
420,257,912,85401,222,E8712,Explorer,['J']
421,176,1234,31914,1471,B4969,NULL,['Y+']
422,244,320,117438,3517,YT1547,NULL,['J']
423,226,121,84567,535,5Z2239,Explorer,['J']
424,199,626,75531,1047,6Z2325,Gold,['J']
425,267,595,101664,173,M42617,Gold,['Y+']
426,114,1139,148824,1485,TU1097,Silver,['J']
427,148,941,129948,2360,EJ1001,NULL,['Y+']
428,267,116,141681,3626,DJ2087,Explorer,['FC']
429,153,1033,81990,1666,QY1204,Explorer,['Y+']
430,173,1126,34836,1933,NS3692,Explorer,['FC']
431,267,925,30471,3764,KF1772,Gold,['FC']
432,186,973,74208,3124,QM1356,NULL,['Y+']
433,164,1236,117087,726,DN3758,Explorer,['Y+']
434,172,247,96120,3609,YS2783,Gold,['Y']
435,161,773,105015,3344,OG3674,NULL,['Y+']
436,142,732,96600,770,FE2175,NULL,['Y+']
437,241,696,43965,401,7G38,Explorer,['Y']
438,261,1156,101367,3171,XK2995,NULL,['J']
439,246,661,46587,2243,MV1029,Explorer,['Y+']
440,299,1140,25155,1191,OE458,Platinum,['Y']
441,120,659,75006,839,V7401,Explorer,['FC']
442,268,724,74832,2338,6V1297,Platinum,['Y+']
443,122,1162,144579,2139,3K2755,NULL,['Y']
444,281,519,97485,544,UG1393,NULL,['Y']
445,208,303,68769,1455,W9626,NULL,['J']
446,196,633,68943,832,I33918,NULL,['Y+']
447,167,343,113979,457,Z9231,Platinum,['Y+']
448,222,850,83355,3147,AQ3085,NULL,['Y']
449,192,590,25470,3699,ZE519,Gold,['J']
450,287,849,98727,1865,7H3406,NULL,['Y']
451,285,1095,46092,905,PZ448,NULL,['J']
452,121,1092,147243,3522,7L2200,NULL,['FC']
453,129,1210,4866,307,BS3149,Gold,['J']
454,190,1173,140121,993,IX211,NULL,['J']
455,195,363,110796,621,2C3859,NULL,['Y']
456,188,907,98202,1969,ZK210,NULL,['J']
457,100,254,25932,180,BV1620,Platinum,['J']
458,262,962,133827,124,FC2056,Silver,['Y']
459,116,377,77946,1752,W92198,NULL,['FC']
460,132,1058,104331,2497,C7433,NULL,['FC']
461,195,786,124344,575,D43641,NULL,['FC']
462,226,410,28092,3495,L51261,Platinum,['J']
463,154,269,72267,3146,AH1388,Gold,['FC']
464,101,326,5712,1081,1H2348,NULL,['FC']
465,282,259,51477,2317,RW741,NULL,['FC']
466,130,851,61653,3334,PI3450,NULL,['Y']
467,138,759,120708,1814,PT1973,NULL,['Y']
468,273,1111,102591,2904,WU876,Platinum,['Y']
469,186,991,76500,1904,GY3198,NULL,['Y']
470,151,1261,70770,2895,H33340,Explorer,['FC']
471,225,974,73881,3963,W1218,NULL,['Y+']
472,224,1213,2076,3519,GR1065,NULL,['Y']
473,113,1271,53850,3523,QI286,NULL,['J']
474,196,441,36207,2597,C716,Gold,['Y']
475,187,283,70299,2749,M41476,NULL,['Y']
476,205,760,69678,680,CN744,Silver,['FC']
477,171,655,29010,649,RM203,Gold,['FC']
478,246,397,126669,2833,FY3344,Platinum,['FC']
479,255,714,115002,92,D91522,Gold,['FC']
480,168,870,9177,199,GJ2377,Gold,['J']
481,282,783,115263,1614,&T3291,NULL,['Y']
482,247,1144,13611,217,G3986,NULL,['Y']
483,165,203,1260,1102,PV2805,Platinum,['J']
484,156,595,95241,3640,QT3630,NULL,['FC']
485,137,182,55497,1939,FF246,Silver,['FC']
486,110,1206,38208,697,I93961,Silver,['Y+']
487,204,1171,113415,2074,WA2568,NULL,['J']
488,149,694,54507,2389,XP3012,Silver,['J']
489,259,585,40404,2240,HT2468,Platinum,['J']
490,119,372,94410,369,7G38,Silver,['J']
491,221,539,76101,282,ZX2754,Gold,['J']
492,154,738,15948,3288,N6634,Explorer,['FC']
493,174,191,33258,2967,QE637,NULL,['J']
494,100,980,88131,1375,3X2432,Gold,['FC']
495,283,836,126081,1280,LW2272,NULL,['FC']
496,178,624,59553,3958,KY376,NULL,['Y']
497,221,772,75252,192,FM499,Explorer,['Y']
498,250,200,40701,1041,9E1586,NULL,['Y']
499,222,893,23703,1482,6E3023,NULL,['Y+']
500,286,1270,127980,1022,G4349,NULL,['Y+']
501,131,380,16656,2056,BU1398,Gold,['J']
502,104,134,21978,1446,WY3175,NULL,['J']
503,264,1025,58431,1833,RX1865,Platinum,['J']
504,100,102,118959,2804,EO2155,Gold,['FC']
505,183,752,119397,1201,M51709,NULL,['Y+']
506,140,531,77964,1295,VJ871,NULL,['Y+']
507,203,845,68271,1449,VD48,Platinum,['J']
508,199,791,23655,1529,6F734,NULL,['J']
509,253,289,85980,2742,CM2046,NULL,['FC']
510,291,818,86397,1249,PA2670,Platinum,['J']
511,188,1094,46053,3883,DH2174,Explorer,['FC']
512,163,1061,117171,1195,HM1351,NULL,['FC']
513,135,1251,24483,3233,7B457,NULL,['Y']
514,235,286,98052,1333,T93211,Platinum,['FC']
515,277,724,98769,2099,::61,NULL,['Y']
516,173,334,88173,2761,YZ3093,NULL,['J']
517,189,1225,143994,2854,5Y467,Explorer,['Y']
518,103,338,9243,3994,OD1275,Explorer,['FC']
519,158,755,123366,3038,LD1429,NULL,['J']
520,100,567,2739,3389,IJ3077,Platinum,['FC']
521,197,559,106587,725,2O442,Gold,['J']
522,202,678,120282,1938,7W2269,NULL,['J']
523,299,492,77364,362,6I1699,Silver,['Y+']
524,283,1280,9939,1909,MH2117,NULL,['J']
525,173,1138,127995,2807,GX405,Explorer,['Y']
526,220,841,71607,2201,GP1564,Gold,['Y+']
527,220,216,76770,648,D91243,NULL,['Y']
528,201,1182,140397,1303,XV2143,NULL,['FC']
529,282,520,127908,339,SH2307,NULL,['J']
530,271,405,3348,1287,S61691,Platinum,['Y+']
531,261,1066,32526,3818,UO2161,NULL,['Y+']
532,254,969,84774,2871,1M3514,NULL,['Y+']
533,145,835,59331,553,X93331,Gold,['Y']
534,233,256,122082,316,TI298,Platinum,['Y+']
535,263,121,102786,3390,GC411,NULL,['Y']
536,204,644,94197,792,72625,NULL,['FC']
537,275,724,43950,297,6G3102,NULL,['FC']
538,189,127,129495,2878,1H147,NULL,['FC']
